-1,-1
2,10
4,12
7,15
11,19
19,27
26,34
39,46
57,61
90,86
-1,102
-1,135
-1,160
-1,201
-1,267
-1,342
-1,412
-1,559
-1,674
-1,913
-1,1101
-1,1326
-1,1499
-1,1918
-1,2312
-1,2959
-1,3788
-1,4849
-1,5843
-1,8356
-1,9024
-1,10423
-1,12039
-1,13905
-1,16060
-1,20958
-1,24207
-1,29775
-1,36623
-1,47793
-1,51617
-1,63489
-1,68568
-1,79196
-1,97411
-1,114945
-1,127015
-1,159404
-1,176141
-1,221057
-1,243572
-1,267613
-1,274918
-1,318466
-1,346889
-1,398089
-1,454698
-1,516901
-1,556521
-1,685078
-1,698848
-1,745810
-1,793579
-1,841908
-1,890529
-1,1008613
-1,1060506
-1,1148316
-1,1237196
-1,1363390
